archivo,ciclo,tipo,proceso,fecha_examen,paginas,ruta,paginas_texto,familia,condiciones,columnas,n_puntajes,n_codigos,n_nombres,n_cortes,utilidad
ingresantes_ucsm_2014_2015.pdf,2015,,,,,data/raw/2015/ingresantes_ucsm_2014_2015.pdf,1,MS-OFFICE,,,0,0,0,0,vacio_para_regex
2016TEN.pdf,2016,traslado,,,4,data/raw/2016/2016TEN.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
2017DD.pdf,2017,otro,,,1,data/raw/2017/2017DD.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
2017IIImajes.pdf,2017,otro,,,2,data/raw/2017/2017IIImajes.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
2017II/GyT.pdf,2017,otro,,,2,data/raw/2017/2017II__GyT.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
2017II/IET.pdf,2017,otro,,,1,data/raw/2017/2017II__IET.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
2017II/TEI.pdf,2017,traslado,,,1,data/raw/2017/2017II__TEI.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
2017II/TEN.pdf,2017,traslado,,,3,data/raw/2017/2017II__TEN.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
2017II/TI.pdf,2017,otro,,,2,data/raw/2017/2017II__TI.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
2017II/TIS.pdf,2017,otro,,,1,data/raw/2017/2017II__TIS.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
2017I/EBS.pdf,2017,otro,,,1,data/raw/2017/2017I__EBS.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
2017I/IA.pdf,2017,otro,,,1,data/raw/2017/2017I__IA.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
2017I/TI.pdf,2017,otro,,,3,data/raw/2017/2017I__TI.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
2017I/TIS.pdf,2017,otro,,,1,data/raw/2017/2017I__TIS.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
2017PP.pdf,2017,otro,,,6,data/raw/2017/2017PP.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
RESULTADOS2017II.pdf,2017,,,,,data/raw/2017/RESULTADOS2017II.pdf,2,DEVEXP,,,0,0,0,0,vacio_para_regex
RESULTADO_CPU-III_2017salud.pdf,2017,,,,,data/raw/2017/RESULTADO_CPU-III_2017salud.pdf,2,MS-OFFICE,,,0,0,0,0,vacio_para_regex
