anio,tipo,archivo_origen,fuente,bytes,sha256,ruta
2016,reglamento,2016_REGLAMENTO.pdf,sitio,270517,1d0c513ba926e616,data/documentos_base/2016/reglamento.pdf
2016,temario,2016_TEMARIO.pdf,sitio,182477,502ed533a3a5b2da,data/documentos_base/2016/temario.pdf
2016,vacantes,2016_VACANTES.pdf,sitio,324175,c6024dd777afc299,data/documentos_base/2016/vacantes.pdf
2017,reglamento,2017_REGLAMENTO.pdf,sitio,317627,ba6823fafe3289a7,data/documentos_base/2017/reglamento.pdf
2017,temario,2017_TEMARIO.pdf,sitio,327714,93f44eddbda13f7d,data/documentos_base/2017/temario.pdf
2017,vacantes,2017_VACANTES.pdf,sitio,337804,a45c52090857b7c9,data/documentos_base/2017/vacantes.pdf
2018,reglamento,2018_REGLAMENTO.pdf,sitio,322950,f23202f3e19463dc,data/documentos_base/2018/reglamento.pdf
2018,temario,2018_TEMARIO.pdf,sitio,424049,416fec287ff734f3,data/documentos_base/2018/temario.pdf
2018,vacantes,2018_VACANTES.pdf,sitio,395642,d74773de5e45bf05,data/documentos_base/2018/vacantes.pdf
2019,reglamento,2019_REGLAMENTO.pdf,sitio,323776,2b2beddee6649186,data/documentos_base/2019/reglamento.pdf
2019,temario,2019_TEMARIO.pdf,sitio,428923,3718f1085eb1409b,data/documentos_base/2019/temario.pdf
2019,vacantes,2019_VACANTES.pdf,sitio,1583401,5e2cb9dc48e41e69,data/documentos_base/2019/vacantes.pdf
2020,reglamento,2020_REGLAMENTO.pdf,sitio,313234,92b59ebaa84d4ed3,data/documentos_base/2020/reglamento.pdf
2020,temario,2020_TEMARIO.pdf,sitio,269263,b879ec0d30643ab0,data/documentos_base/2020/temario.pdf
2020,vacantes,2020_VACANTES.pdf,sitio,3823133,f4dd12161299722e,data/documentos_base/2020/vacantes.pdf
2021,reglamento,2021_REGLAMENTO.pdf,sitio,315597,f981e02a5b85473f,data/documentos_base/2021/reglamento.pdf
2021,reglamento_examen_virtual,REGLAMENTO_EXAMEN_VIRTUAL_ORDINARIO_2021.pdf,cache,462398,a0d73a415f7de688,data/documentos_base/2021/reglamento_examen_virtual.pdf
2021,temario,2021_TEMARIO.pdf,sitio,608752,b4a116c33513598f,data/documentos_base/2021/temario.pdf
2021,vacantes,2021_VACANTES.pdf,sitio,1825084,c8d28743d5f40c79,data/documentos_base/2021/vacantes.pdf
2022,cronograma,2022_CRONOGRAMA.pdf,sitio,473264,59bdf4fe211fdbec,data/documentos_base/2022/cronograma.pdf
2022,reglamento,REGLAMENTO_EXAMEN_VIRTUAL_2022.pdf,cache,129284,95bf547316d44a48,data/documentos_base/2022/reglamento.pdf
2022,temario,2022_TEMARIO.pdf,sitio,608633,c56e2be663249a0b,data/documentos_base/2022/temario.pdf
2022,vacantes,2022_VACANTES.pdf,sitio,1758097,080f1cd9786e8205,data/documentos_base/2022/vacantes.pdf
2023,cronograma,2023_CRONOGRAMA.pdf,sitio,153402,22905cd970d590d4,data/documentos_base/2023/cronograma.pdf
2023,temario,2023_TEMARIO.pdf,sitio,301770,a93f25cd62cb89a0,data/documentos_base/2023/temario.pdf
2023,vacantes,2023_VACANTES.pdf,sitio,625856,acf05be38154818c,data/documentos_base/2023/vacantes.pdf
2024,cronograma,2024_CRONOGRAMA.pdf,sitio,171818,df5c3bc2b7cfef56,data/documentos_base/2024/cronograma.pdf
2024,reglamento,8627-CU-2024-TEXTO-UNICO-ORDENADO-DEL-REGLAMENTO-DE-ADMISION-VERSION-04.pdf,cache,704301,17ccb71ce475a12b,data/documentos_base/2024/reglamento.pdf
2024,temario,2024_TEMARIO.pdf,sitio,301198,8bd88b1b2ab9eceb,data/documentos_base/2024/temario.pdf
2024,vacantes,2024_VACANTES.pdf,sitio,1551097,cd2801492a8a06bc,data/documentos_base/2024/vacantes.pdf
2025,cronograma,2025_CRONOGRAMA.pdf,sitio,310880,dfef9336e285741e,data/documentos_base/2025/cronograma.pdf
2025,temario,2025_TEMARIO.pdf,sitio,278495,51cac33b270fef4b,data/documentos_base/2025/temario.pdf
2025,vacantes,2025_VACANTES.pdf,sitio,783296,29735091bab54ed8,data/documentos_base/2025/vacantes.pdf
2026,cronograma,2026_CRONOGRAMA.pdf,sitio,245789,f830e1f9ce6ec0d7,data/documentos_base/2026/cronograma.pdf
2026,reglamento,2026_REGLAMENTO_ADMISION.pdf,cache,512312,7f0005747593b442,data/documentos_base/2026/reglamento.pdf
2026,temario,2026_TEMARIO.pdf,sitio,356733,47efc61c45c6e687,data/documentos_base/2026/temario.pdf
2026,vacantes,2026_VACANTES.pdf,sitio,779150,1ce6a352de5b4320,data/documentos_base/2026/vacantes.pdf
2027,cronograma,9807-CU-2026-CRONOGRAMA-2027.pdf,cache,260720,cb364b350747bab5,data/documentos_base/2027/cronograma.pdf
2027,perfil_de_ingreso,9785-CU-2026-PERFIL-DE-INGRESO.pdf,cache,245176,324927ab6c724cd5,data/documentos_base/2027/perfil_de_ingreso.pdf
2027,reglamento,9786-CU-2026-Nuevo-TUO-Texto-Unico-Ordenado-Reglamento-de-Admision.pdf,cache,486229,e1ac1626486de6e0,data/documentos_base/2027/reglamento.pdf
2027,temario,TEMARIO-DE-ADMISION-2027.pdf,cache,323744,7217c6287f128af9,data/documentos_base/2027/temario.pdf
2027,vacantes,9813-CU-2026-cuadro-de-vacantes-2027.pdf,cache,548153,d2772b0dc5618665,data/documentos_base/2027/vacantes.pdf
