archivo,ciclo,tipo,proceso,fecha_examen,familia,paginas,modalidad,condiciones,bytes,sha256,origen,ruta,estado
POSTULANTES_APTOS.pdf,,,,,,,,,0,,wayback,,404
POSTULANTES_NO_APTOS.pdf,,,,,,,,,0,,wayback,,404
Aptos2021ExtraordinarioI.pdf,2021,extraordinario,,,MS-OFFICE,16,,,781741,8f3e8954600cec2d,wayback,data/raw/2021/Aptos2021ExtraordinarioI.pdf,ok
Aptos2021ExtraordinarioII.pdf,2021,extraordinario,,,DEVEXP,5,,,683336,0a30467accec2929,wayback,data/raw/2021/Aptos2021ExtraordinarioII.pdf,ok
Aptos2021ExtraordinarioII_3.pdf,2021,extraordinario,,,DEVEXP,5,,,682848,4e95a167873e3cdc,wayback,data/raw/2021/Aptos2021ExtraordinarioII_3.pdf,ok
Aptos2021ExtraordinarioIold.pdf,2021,extraordinario,,,MS-OFFICE,16,,,607879,9d7ef4abc3447db4,wayback,data/raw/2021/Aptos2021ExtraordinarioIold.pdf,ok
EG2021IIIsalud.pdf,2021,otro,,,MS-OFFICE,8,,,463653,8da7e8f33098c90a,wayback,data/raw/2021/EG2021IIIsalud.pdf,ok
EG2021IIsalud.pdf,2021,otro,,,DEVEXP,4,,,348555,896cc9242560caea,wayback,data/raw/2021/EG2021IIsalud.pdf,ok
precatolica2021-Isalud.pdf,2021,precatolica,,,MS-OFFICE,3,,,459472,40645b0a10a13d28,wayback,data/raw/2021/precatolica2021-Isalud.pdf,ok
puntajes_EG2021I.pdf,2021,otro,,,MS-OFFICE,23,,,274478,d345c126c9f271a1,wayback,data/raw/2021/puntajes_EG2021I.pdf,ok
puntajes_EG2021III.pdf,2021,otro,,,MS-OFFICE,38,,,758431,75e13142aba5264d,wayback,data/raw/2021/puntajes_EG2021III.pdf,ok
EG2021III.pdf,2021,ordinario,TERCER EXAMEN GENERAL 2021,01/03/2021,DEVEXP,78,PRIMERA POSTULACION,INGRESO|NO INGRESO|NSP|NC,486939,f81d752adea90561,wayback,data/raw/2021/EG2021III.pdf,ok
PRONABEC2021.pdf,2021,beca,PRONABEC BECA-18 2021,01/03/2021,DEVEXP,34,,NSP|NC,190938,a4aed42f1d35486a,wayback,data/raw/2021/PRONABEC2021.pdf,ok
Extraordinario20212.pdf,2021,traslado,EXAMEN EXTRAORDINARIO 2021 II - TRASLADO EXTERNO NACIONAL II,08/08/2021,DEVEXP,35,,INGRESO|NSP|NC,138426,7eb74743c885afe2,wayback,data/raw/2021/Extraordinario20212.pdf,ok
2021COBERII.pdf,2021,convenio_cci,COBERTURA DE METAS SEGUNDO EXAMEN GENERAL 2021,11/02/2021,DEVEXP,10,PRIMERA POSTULACION,INGRESO|NSP|NC,87577,f36ad61988a84c6a,wayback,data/raw/2021/2021COBERII.pdf,ok
precatolica2021-II.pdf,2021,precatolica,PRECATOLICA 2021-II - AREQUIPA,13/12/2020,DEVEXP,116,PRIMERA POSTULACION,,368500,f49d00076ffd7ece,wayback,data/raw/2021/precatolica2021-II.pdf,ok
precatolica2021-I.pdf,2021,precatolica,PRECATOLICA 2021-I - AREQUIPA,18/08/2020,DEVEXP,121,PRIMERA POSTULACION,INGRESO|NC,361017,0dd0468dce76eef1,wayback,data/raw/2021/precatolica2021-I.pdf,ok
precatolica2021-III.pdf,2021,precatolica,PRECATOLICA 2021-III - AREQUIPA,20/02/2021,DEVEXP,124,PRIMERA POSTULACION,INGRESO|NSP|NC,380806,32d1963ea11142c5,wayback,data/raw/2021/precatolica2021-III.pdf,ok
EG2021II.pdf,2021,ordinario,SEGUNDO EXAMEN GENERAL 2021,21/12/2020,DEVEXP,70,PRIMERA POSTULACION,INGRESO|NO INGRESO|NSP|NC,365984,1613550b5fa868c6,wayback,data/raw/2021/EG2021II.pdf,ok
Extraordinario20211.pdf,2021,extraordinario,EXAMEN EXTRAORDINARIO 2021 I - DEPORTISTAS DESTACADOS,22/02/2021,DEVEXP,89,,INGRESO|NSP|NC,280176,a2f1c19385d6da0e,wayback,data/raw/2021/Extraordinario20211.pdf,ok
TercioSuperior2021.pdf,2021,tercio_superior,CONCURSO DE ADMISION 2021 - TERCIO SUPERIOR - AREQUIPA,22/08/2020,DEVEXP,45,,INGRESO|NC,172607,4db804cb5b8a4fd7,wayback,data/raw/2021/TercioSuperior2021.pdf,ok
Extraordinario20212final.pdf,2021,traslado,EXAMEN EXTRAORDINARIO 2021 II - TRASLADO EXTERNO NACIONAL II,24/08/2021,DEVEXP,35,,INGRESO|NSP|NC,132492,758587501534ca92,wayback,data/raw/2021/Extraordinario20212final.pdf,ok
EG2021I.pdf,2021,ordinario,PRIMER EXAMEN GENERAL 2021 - PRIMERA POSTULACION,31/08/2020,DEVEXP,67,,INGRESO|NO INGRESO|NC,328235,0093a02b749b0449,wayback,data/raw/2021/EG2021I.pdf,ok
2022CCI-I.pdf,2022,convenio_cci,,,DEVEXP,1,,,440252,7160fc2490f8dfae,wayback,data/raw/2022/2022CCI-I.pdf,ok
Aptos2022CCI.pdf,2022,convenio_cci,,,MS-OFFICE,1,,,446304,dbe86c738d9998c2,wayback,data/raw/2022/Aptos2022CCI.pdf,ok
Aptos2022ExtraordinarioI.pdf,2022,extraordinario,,,MS-OFFICE,8,,,467287,f1bda680692eb688,wayback,data/raw/2022/Aptos2022ExtraordinarioI.pdf,ok
Aptos2022ExtraordinarioII.pdf,2022,extraordinario,,,DEVEXP,4,,,517914,984596974b500e82,wayback,data/raw/2022/Aptos2022ExtraordinarioII.pdf,ok
Aptos2022TS.pdf,2022,lista_aptos,,,DEVEXP,8,,,726809,bb609e05320d032d,wayback,data/raw/2022/Aptos2022TS.pdf,ok
EG2022IIIsalud.pdf,2022,otro,,,MS-OFFICE,7,,,202636,b48663aeb62970b1,wayback,data/raw/2022/EG2022IIIsalud.pdf,ok
EG2022IIsalud.pdf,2022,otro,,,MS-OFFICE,6,,,348310,aaab4e0b65711b33,wayback,data/raw/2022/EG2022IIsalud.pdf,ok
EG2022Isalud.pdf,2022,otro,,,MS-OFFICE,4,,,482067,2450b32d2ec7dbeb,wayback,data/raw/2022/EG2022Isalud.pdf,ok
Extraordinario20221.pdf,2022,extraordinario,,,MS-OFFICE,78,,,689086,db176a852fa86838,wayback,data/raw/2022/Extraordinario20221.pdf,ok
NoAptos2022ExtraordinarioI.pdf,2022,extraordinario,,,MS-OFFICE,23,,,268314,b3943ca10900031b,wayback,data/raw/2022/NoAptos2022ExtraordinarioI.pdf,ok
Rechazados2022ExtraordinarioI.pdf,2022,extraordinario,,,MS-OFFICE,3,,,134384,9ebe73d469481dce,wayback,data/raw/2022/Rechazados2022ExtraordinarioI.pdf,ok
TercioSuperior2022final.pdf,2022,otro,,,MS-OFFICE,3,,,492215,726cf330258dd4fb,wayback,data/raw/2022/TercioSuperior2022final.pdf,ok
indicacionespromedioEG2022II.pdf,2022,otro,,,DEVEXP,1,,,279994,62ffbacadc2e15a7,wayback,data/raw/2022/indicacionespromedioEG2022II.pdf,ok
precatolica2022-IIIsalud.pdf,2022,precatolica,,,MS-OFFICE,5,,,155350,891f46a737868410,wayback,data/raw/2022/precatolica2022-IIIsalud.pdf,ok
precatolica2022-IIsalud.pdf,2022,precatolica,,,MS-OFFICE,5,,,290574,490bb53cee4d7029,wayback,data/raw/2022/precatolica2022-IIsalud.pdf,ok
precatolica2022-Isalud.pdf,2022,precatolica,,,MS-OFFICE,3,,,500142,54bc2196f63dbe1c,wayback,data/raw/2022/precatolica2022-Isalud.pdf,ok
precatolica2022-Ifinal.pdf,2022,precatolica,PRECATOLICA 2022-I - AREQUIPA,02/09/2021,DEVEXP,101,PRIMERA POSTULACION,INGRESO|NSP|NC,295072,afb023100bc3b3ef,wayback,data/raw/2022/precatolica2022-Ifinal.pdf,ok
