carrera,seccion,cepre,ordinarios,traslado_interno,extraordinario,pronabec,total
Enfermeria,presencial,80,104,4,66,6,260
Farmacia y Bioquimica,presencial,47,63,4,40,6,160
Ingenieria Biotecnologica,presencial,38,50,2,32,6,128
Medicina Humana,presencial,67,88,6,55,6,222
Obstetricia y Puericultura,presencial,44,58,4,38,6,150
Odontologia,presencial,57,75,4,48,6,190
Tecnología Médica en Fisioterapia y,presencial,22,29,2,19,6,78
Arquitectura,presencial,80,174,4,66,6,330
Ingenieria Ambiental,presencial,22,29,2,19,6,78
Ingeniería Biomédica,presencial,22,29,2,19,6,78
Ingenieria Civil,presencial,76,170,4,64,8,322
Ingenieria de Minas,presencial,67,158,2,56,10,293
Ingenieria de Sistemas,presencial,76,170,4,64,10,324
Ingeniería en Inteligencia Artificial,presencial,19,95,2,17,6,139
Ingenieria Industrial,presencial,112,287,6,92,10,507
Ingenieria Mecánica,presencial,38,50,2,32,6,128
Ingeniería Mecánica Eléctrica,presencial,19,25,2,17,6,69
Ingeniería Mecatrónica,presencial,38,120,2,32,6,198
Medicina Veterinaria y Zootecnia,presencial,51,67,4,43,8,173
Administracion de Empresas,presencial,51,67,4,44,6,172
Ingenieria Comercial,presencial,51,137,2,42,6,238
Contabilidad,presencial,22,29,2,19,6,78
Derecho,presencial,134,316,6,110,10,576
Ciencia Politica y Gobierno,presencial,32,42,2,26,6,108
Comunicación Social,presencial,32,42,2,26,6,108
Educacion Inicial,presencial,19,25,2,17,6,69
Psicologia,presencial,67,88,6,56,6,223
Publicidad y Multimedia,presencial,51,67,2,42,6,168
