ciclo,carrera,postulaciones,ingresantes,tasa_ingreso,denominador_fiable,pct_rechazados,nota_corte,puntaje_min,puntaje_max,puntaje_mediana
2021,ADMINISTRACION DE EMPRESAS,269,174,64.7,si,35.3,41.8982,46.88,268.04,75.33
2021,ARQUITECTURA,231,183,,no,20.8,41.8982,15.0,260.9,79.12
2021,CIENCIA POLITICA Y GOBIERNO,57,50,,no,12.3,41.8982,45.36,252.6,74.05
2021,COMUNICACION SOCIAL,113,106,,no,6.2,41.8982,46.61,210.0,75.67
2021,CONTABILIDAD,135,80,59.3,si,40.7,41.8982,19.0,229.96,72.88
2021,DERECHO,510,332,65.1,si,34.9,41.8982,12.0,256.84,79.98
2021,EDUCACION INICIAL,31,26,,no,16.1,41.8982,62.12,219.53,72.72
2021,EDUCACION PRIMARIA,9,9,,no,0.0,41.8982,67.39,85.77,72.63
2021,EDUCACION SECUNDARIA,24,19,,no,20.8,41.8982,57.61,190.66,72.24
2021,ENFERMERIA,267,42,15.7,si,84.3,41.8982,12.0,212.88,73.08
2021,FARMACIA Y BIOQUIMICA,112,30,26.8,si,73.2,41.8982,50.62,102.7,71.73
2021,INGENIERIA AGRONOMICA Y AGRICOLA,37,37,,no,0.0,41.8982,52.02,186.78,69.46
2021,INGENIERIA AMBIENTAL,136,105,,no,22.8,41.8982,48.58,247.63,76.07
2021,INGENIERIA BIOTECNOLOGICA,74,25,33.8,si,66.2,41.8982,61.75,108.45,87.53
2021,INGENIERIA CIVIL,267,194,72.7,si,27.3,41.8982,18.0,254.26,79.63
2021,INGENIERIA COMERCIAL,140,124,,no,11.4,41.8982,50.71,245.34,78.75
2021,INGENIERIA DE INDUSTRIA ALIMENTARIA,34,34,,no,0.0,41.8982,45.51,233.9,75.32
2021,INGENIERIA DE MINAS,122,107,,no,12.3,41.8982,44.66,271.96,74.85
2021,INGENIERIA DE SISTEMAS,164,132,,no,19.5,41.8982,51.6,255.91,77.09
2021,INGENIERIA ELECTRONICA,32,32,,no,0.0,41.8982,49.82,259.97,79.47
2021,INGENIERIA INDUSTRIAL,336,290,,no,13.7,41.8982,15.0,271.91,80.65
2021,INGENIERIA MECANICA ELECTRICA,113,107,,no,5.3,41.8982,45.0,261.6,76.07
2021,INGENIERIA MECATRONICA,129,121,,no,6.2,41.8982,46.88,256.88,80.46
2021,MEDICINA HUMANA,2844,89,3.1,si,96.9,41.8982,2.0,276.26,97.42
2021,MEDICINA VETERINARIA Y ZOOTECNIA,201,138,68.7,si,31.3,41.8982,33.0,221.95,76.9
2021,OBSTETRICIA Y PUERICULTURA,102,24,23.5,si,76.5,41.8982,52.67,108.5,72.15
2021,ODONTOLOGIA,168,30,17.9,si,82.1,41.8982,46.7,106.64,80.87
2021,PSICOLOGIA,212,39,18.4,si,81.6,41.8982,12.0,103.72,72.27
2021,PUBLICIDAD Y MULTIMEDIA,210,131,62.4,si,37.6,41.8982,47.44,261.3,78.66
2021,TEOLOGIA,15,13,,no,13.3,,14.0,98.01,24.0
2021,TRABAJO SOCIAL,40,40,,no,0.0,,51.67,85.91,70.85
2021,TURISMO Y HOTELERIA,32,27,,no,15.6,41.8982,57.66,162.98,67.88
2022,ADMINISTRACION DE EMPRESAS,342,322,,no,5.8,25.0,14.0,258.3,77.91
2022,APRESTAMIENTO,21,0,0.0,si,100.0,104.7642,3.9,162.0,69.6
2022,ARQUITECTURA,285,268,,no,6.0,25.0,8.0,251.51,81.88
2022,CIENCIA POLITICA Y GOBIERNO,91,89,,no,2.2,25.0,36.0,219.38,75.56
2022,COMUNICACION SOCIAL,136,135,,no,0.7,25.0,22.0,234.34,75.5
2022,CONTABILIDAD,117,115,,no,1.7,25.0,15.0,198.75,72.23
2022,DERECHO,720,456,63.3,si,36.7,25.0,5.0,255.32,83.92
2022,EDUCACION INICIAL,47,46,,no,2.1,25.0,14.0,187.35,74.99
2022,ENFERMERIA,467,85,18.2,si,81.8,43.519,10.0,221.74,74.8
2022,FARMACIA Y BIOQUIMICA,182,84,46.2,si,53.8,25.0,13.0,239.89,70.57
2022,INGENIERIA AGRONOMICA Y AGRICOLA,78,75,,no,3.8,25.0,20.0,182.53,71.28
2022,INGENIERIA AMBIENTAL,142,140,,no,1.4,25.0,12.0,233.25,77.54
2022,INGENIERIA BIOTECNOLOGICA,56,55,,no,1.8,43.519,71.75,256.27,86.48
2022,INGENIERIA CIVIL,391,341,,no,12.8,25.0,7.0,247.43,80.69
2022,INGENIERIA COMERCIAL,194,190,,no,2.1,25.0,42.0,246.07,83.39
2022,INGENIERIA DE INDUSTRIA ALIMENTARIA,40,40,,no,0.0,25.0,50.0,207.19,74.4
2022,INGENIERIA DE MINAS,148,144,,no,2.7,25.0,10.0,235.76,75.18
2022,INGENIERIA DE SISTEMAS,337,283,,no,16.0,25.0,7.0,246.45,79.1
2022,INGENIERIA ELECTRONICA,39,38,,no,2.6,25.0,15.0,233.79,75.93
2022,INGENIERIA INDUSTRIAL,424,414,,no,2.4,25.0,11.0,241.99,79.59
2022,INGENIERIA MECANICA ELECTRICA,162,152,,no,6.2,25.0,17.0,241.88,79.24
2022,INGENIERIA MECATRONICA,169,164,,no,3.0,25.0,43.0,251.59,81.03
2022,MEDICINA HUMANA,3373,202,6.0,si,94.0,43.519,6.0,281.55,99.08
2022,MEDICINA VETERINARIA Y ZOOTECNIA,393,263,66.9,si,33.1,25.0,8.0,238.91,77.25
2022,OBSTETRICIA Y PUERICULTURA,153,69,45.1,si,54.9,25.0,9.0,233.21,71.62
2022,ODONTOLOGIA,288,127,44.1,si,55.9,25.0,10.0,245.62,78.69
2022,PSICOLOGIA,327,99,30.3,si,69.7,43.519,6.0,234.6,73.53
2022,PUBLICIDAD Y MULTIMEDIA,314,232,73.9,si,26.1,25.0,15.0,255.75,80.67
2022,TRABAJO SOCIAL,36,36,,no,0.0,,,,
2023,ADMINISTRACION DE EMPRESAS,268,207,,no,22.8,44.9378,12.0,251.96,75.51
2023,APRESTAMIENTO,6,0,,si,100.0,108.8637,20.6,160.7,69.2
2023,ARQUITECTURA,303,211,69.6,si,30.4,44.9378,9.0,248.28,79.32
2023,CIENCIA POLITICA Y GOBIERNO,270,192,71.1,si,28.9,44.9378,47.75,210.21,79.04
2023,COMUNICACION SOCIAL,98,86,,no,12.2,44.9378,22.0,245.37,77.1
2023,CONTABILIDAD,599,277,46.2,si,53.8,44.9378,1.0,227.9,73.22
2023,DERECHO,635,350,55.1,si,44.9,44.9378,11.0,265.66,84.76
2023,DISENO GRAFICO PUBLICITARIO,136,89,65.4,si,34.6,,,,
2023,ECONOMIA Y FINANZAS,355,181,51.0,si,49.0,,,,
2023,EDUCACION INICIAL,48,45,,no,6.2,44.9378,17.0,220.7,71.18
2023,EDUCACION SECUNDARIA,128,93,72.7,si,27.3,,,,
2023,ENFERMERIA,658,184,28.0,si,72.0,44.9378,6.0,202.93,76.98
2023,FARMACIA Y BIOQUIMICA,290,165,56.9,si,43.1,44.9378,12.0,143.68,69.77
2023,INGENIERIA AGRONOMICA Y AGRICOLA,304,219,72.0,si,28.0,44.9378,12.0,207.09,70.25
2023,INGENIERIA AMBIENTAL,121,71,58.7,si,41.3,44.9378,12.0,228.15,74.34
