ciclo,carrera,no_ingresantes,a_menos_de_un_punto,porcentaje
2021,ADMINISTRACION DE EMPRESAS,69,68,98.6
2021,ARQUITECTURA,48,41,85.4
2021,CIENCIA POLITICA Y GOBIERNO,7,7,100.0
2021,COMUNICACION SOCIAL TRASLADO INTERNO II,7,7,100.0
2021,CONTABILIDAD,53,52,98.1
2021,DERECHO TRASLADO INTERNO II,108,101,93.5
2021,EDUCACION INICIAL,5,5,100.0
2021,EDUCACION SECUNDARIA,5,5,100.0
2021,ENFERMERIA,177,175,98.9
2021,FARMACIA Y BIOQUIMICA,48,46,95.8
2021,INGENIERIA AMBIENTAL TRASLADO INTERNO II,31,29,93.5
2021,INGENIERIA BIOTECNOLOGICA,45,45,100.0
2021,INGENIERIA CIVIL TRASLADO INTERNO II,70,69,98.6
2021,INGENIERIA COMERCIAL,15,13,86.7
2021,INGENIERIA DE MINAS,15,15,100.0
2021,INGENIERIA DE SISTEMAS,31,30,96.8
2021,INGENIERIA INDUSTRIAL TRASLADO INTERNO II,28,27,96.4
2021,INGENIERIA MECANICA ELECTRICA,6,6,100.0
2021,INGENIERIA MECATRONICA,8,8,100.0
2021,MEDICINA HUMANA TRASLADO INTERNO II,913,869,95.2
2021,MEDICINA VETERINARIA Y ZOOTECNIA,61,59,96.7
2021,OBSTETRICIA Y PUERICULTURA,39,39,100.0
2021,ODONTOLOGIA,73,73,100.0
2021,PSICOLOGIA TRASLADO INTERNO II,84,79,94.0
2021,PUBLICIDAD Y MULTIMEDIA TRASLADO EXTERNO NACIONAL II,79,78,98.7
2021,TURISMO Y HOTELERIA,5,5,100.0
2022,ADMINISTRACION DE EMPRESAS,15,12,80.0
2022,APRESTAMIENTO,21,4,19.0
2022,ARQUITECTURA,13,11,84.6
2022,CIENCIA POLITICA Y GOBIERNO,1,0,0.0
2022,CONTABILIDAD,1,0,0.0
2022,DERECHO TRASLADO INTERNO II,121,84,69.4
2022,ENFERMERIA,163,130,79.8
2022,FARMACIA Y BIOQUIMICA,77,74,96.1
2022,INGENIERIA AGRONOMICA Y AGRICOLA,3,0,0.0
2022,INGENIERIA AMBIENTAL TRASLADO INTERNO II,1,0,0.0
2022,INGENIERIA BIOTECNOLOGICA,1,0,0.0
2022,INGENIERIA CIVIL TRASLADO INTERNO II,39,37,94.9
2022,INGENIERIA COMERCIAL,4,1,25.0
2022,INGENIERIA DE MINAS,3,0,0.0
2022,INGENIERIA DE SISTEMAS,52,46,88.5
2022,INGENIERIA ELECTRONICA,1,0,0.0
2022,INGENIERIA INDUSTRIAL TRASLADO INTERNO II,6,4,66.7
2022,INGENIERIA MECANICA ELECTRICA,9,6,66.7
2022,INGENIERIA MECATRONICA,1,0,0.0
2022,MEDICINA HUMANA TRASLADO INTERNO II,1045,917,87.8
2022,MEDICINA VETERINARIA Y ZOOTECNIA,47,36,76.6
2022,OBSTETRICIA Y PUERICULTURA,58,52,89.7
2022,ODONTOLOGIA,118,102,86.4
2022,PSICOLOGIA TRASLADO INTERNO II,101,83,82.2
2022,PUBLICIDAD Y MULTIMEDIA TRASLADO EXTERNO NACIONAL II,66,63,95.5
2023,ADMINISTRACION DE EMPRESAS,46,39,84.8
2023,APRESTAMIENTO,6,2,33.3
2023,ARQUITECTURA,86,79,91.9
2023,CIENCIA POLITICA Y GOBIERNO,5,4,80.0
2023,COMUNICACION SOCIAL TRASLADO INTERNO II,10,6,60.0
2023,CONTABILIDAD,12,10,83.3
2023,DERECHO TRASLADO INTERNO II,127,99,78.0
2023,EDUCACION INICIAL,2,1,50.0
2023,ENFERMERIA,98,75,76.5
2023,FARMACIA Y BIOQUIMICA,80,70,87.5
2023,INGENIERIA AGRONOMICA Y AGRICOLA,7,7,100.0
