ciclo,carrera,modalidad,postulaciones,ingresantes,tasa_ingreso,denominador_fiable,nota_corte,puntaje_mediana
2021,ADMINISTRACION DE EMPRESAS,beca,37,8,21.6,si,77.53,67.57
2021,ADMINISTRACION DE EMPRESAS,extraordinario,8,8,,no,74.13,83.52
2021,ADMINISTRACION DE EMPRESAS,ordinario,187,121,64.7,si,50.71,73.18
2021,ADMINISTRACION DE EMPRESAS,precatolica,32,32,,no,106.19,176.02
2021,ADMINISTRACION DE EMPRESAS,rendimiento_superior,1,1,,no,92.9,92.9
2021,ADMINISTRACION DE EMPRESAS,traslado,4,4,,no,71.27,77.73
2021,ARQUITECTURA,beca,19,13,68.4,si,74.53,75.61
2021,ARQUITECTURA,convenio_cci,2,2,,no,63.46,66.76
2021,ARQUITECTURA,extraordinario,8,8,,no,68.74,90.31
2021,ARQUITECTURA,ordinario,138,96,69.6,si,64.31,76.4
2021,ARQUITECTURA,precatolica,55,55,,no,107.81,197.0
2021,ARQUITECTURA,rendimiento_superior,7,7,,no,82.74,88.29
2021,ARQUITECTURA,traslado,2,2,,no,75.28,75.28
2021,CIENCIA POLITICA Y GOBIERNO,beca,2,2,,no,80.56,82.76
2021,CIENCIA POLITICA Y GOBIERNO,ordinario,44,37,,no,45.36,70.92
2021,CIENCIA POLITICA Y GOBIERNO,precatolica,8,8,,no,143.56,186.45
2021,CIENCIA POLITICA Y GOBIERNO,rendimiento_superior,3,3,,no,94.36,104.59
2021,COMUNICACION SOCIAL TRASLADO INTERNO II,beca,2,2,,no,77.31,81.08
2021,COMUNICACION SOCIAL TRASLADO INTERNO II,extraordinario,4,4,,no,79.75,87.93
2021,COMUNICACION SOCIAL TRASLADO INTERNO II,ordinario,82,75,,no,46.61,73.21
2021,COMUNICACION SOCIAL TRASLADO INTERNO II,precatolica,14,14,,no,151.9,178.58
2021,COMUNICACION SOCIAL TRASLADO INTERNO II,rendimiento_superior,7,7,,no,84.0,93.84
2021,COMUNICACION SOCIAL TRASLADO INTERNO II,traslado,4,4,,no,53.32,56.08
2021,CONTABILIDAD,beca,26,8,30.8,si,68.13,64.24
2021,CONTABILIDAD,extraordinario,7,5,,si,76.84,82.5
2021,CONTABILIDAD,ordinario,81,46,56.8,si,58.21,71.99
2021,CONTABILIDAD,precatolica,14,14,,no,143.86,185.32
2021,CONTABILIDAD,rendimiento_superior,1,1,,no,91.8,91.8
2021,CONTABILIDAD,traslado,6,6,,no,63.44,65.83
2021,DERECHO TRASLADO INTERNO II,beca,45,8,17.8,si,85.88,72.93
2021,DERECHO TRASLADO INTERNO II,convenio_cci,2,2,,no,68.31,71.71
2021,DERECHO TRASLADO INTERNO II,extraordinario,17,13,,no,71.74,86.24
2021,DERECHO TRASLADO INTERNO II,ordinario,310,173,55.8,si,67.17,75.71
2021,DERECHO TRASLADO INTERNO II,precatolica,112,112,,no,105.61,198.16
2021,DERECHO TRASLADO INTERNO II,rendimiento_superior,14,14,,no,80.96,91.45
2021,DERECHO TRASLADO INTERNO II,traslado,10,10,,no,71.67,74.46
2021,EDUCACION INICIAL,beca,6,5,,no,65.31,76.26
2021,EDUCACION INICIAL,ordinario,18,14,,no,63.24,71.29
2021,EDUCACION INICIAL,precatolica,7,7,,no,111.18,191.69
2021,EDUCACION PRIMARIA,beca,3,3,,no,72.12,72.63
2021,EDUCACION PRIMARIA,ordinario,6,6,,no,67.39,71.78
2021,EDUCACION SECUNDARIA,beca,10,5,,si,67.5,66.48
2021,EDUCACION SECUNDARIA,extraordinario,1,1,,no,80.88,80.88
2021,EDUCACION SECUNDARIA,ordinario,11,11,,no,59.4,72.42
2021,EDUCACION SECUNDARIA,precatolica,2,2,,no,183.68,187.17
2021,ENFERMERIA,beca,23,5,21.7,si,82.12,70.06
2021,ENFERMERIA,convenio_cci,2,2,,no,70.62,71.29
2021,ENFERMERIA,extraordinario,26,19,73.1,si,64.25,77.54
2021,ENFERMERIA,ordinario,181,0,0.0,si,,71.86
2021,ENFERMERIA,precatolica,19,0,0.0,si,,174.56
2021,ENFERMERIA,rendimiento_superior,2,2,,no,90.67,92.31
2021,ENFERMERIA,traslado,14,14,,no,64.06,72.0
2021,FARMACIA Y BIOQUIMICA,beca,4,4,,no,75.17,78.33
2021,FARMACIA Y BIOQUIMICA,extraordinario,17,17,,no,58.41,75.46
2021,FARMACIA Y BIOQUIMICA,ordinario,82,0,0.0,si,,70.0
2021,FARMACIA Y BIOQUIMICA,rendimiento_superior,3,3,,no,84.12,91.31
2021,FARMACIA Y BIOQUIMICA,traslado,6,6,,no,64.06,81.1
2021,INGENIERIA AGRONOMICA Y AGRICOLA,beca,6,6,,no,58.85,64.73
2021,INGENIERIA AGRONOMICA Y AGRICOLA,extraordinario,2,2,,no,85.79,92.24
2021,INGENIERIA AGRONOMICA Y AGRICOLA,ordinario,20,20,,no,52.02,69.14
2021,INGENIERIA AGRONOMICA Y AGRICOLA,precatolica,3,3,,no,180.35,182.8
2021,INGENIERIA AGRONOMICA Y AGRICOLA,traslado,6,6,,no,58.71,62.61
2021,INGENIERIA AMBIENTAL TRASLADO INTERNO II,beca,23,14,60.9,si,66.86,75.12
2021,INGENIERIA AMBIENTAL TRASLADO INTERNO II,extraordinario,5,5,,no,68.37,84.62
2021,INGENIERIA AMBIENTAL TRASLADO INTERNO II,ordinario,91,69,,no,48.58,73.68
2021,INGENIERIA AMBIENTAL TRASLADO INTERNO II,precatolica,12,12,,no,160.92,213.8
2021,INGENIERIA AMBIENTAL TRASLADO INTERNO II,rendimiento_superior,3,3,,no,61.91,85.62
2021,INGENIERIA AMBIENTAL TRASLADO INTERNO II,traslado,2,2,,no,55.45,55.45
2021,INGENIERIA BIOTECNOLOGICA,beca,4,4,,no,76.09,82.66
2021,INGENIERIA BIOTECNOLOGICA,extraordinario,15,11,73.3,si,62.29,97.14
2021,INGENIERIA BIOTECNOLOGICA,ordinario,45,0,0.0,si,,84.32
2021,INGENIERIA BIOTECNOLOGICA,rendimiento_superior,8,8,,no,65.51,95.21
2021,INGENIERIA BIOTECNOLOGICA,traslado,2,2,,no,101.02,101.02
2021,INGENIERIA CIVIL TRASLADO INTERNO II,beca,45,16,35.6,si,76.25,71.63
2021,INGENIERIA CIVIL TRASLADO INTERNO II,convenio_cci,1,1,,no,61.82,61.82
2021,INGENIERIA CIVIL TRASLADO INTERNO II,extraordinario,19,16,,no,50.94,85.96
2021,INGENIERIA CIVIL TRASLADO INTERNO II,ordinario,146,105,71.9,si,60.53,77.45
2021,INGENIERIA CIVIL TRASLADO INTERNO II,precatolica,40,40,,no,148.36,201.47
2021,INGENIERIA CIVIL TRASLADO INTERNO II,rendimiento_superior,12,12,,no,90.38,98.54
2021,INGENIERIA CIVIL TRASLADO INTERNO II,traslado,4,4,,no,50.42,63.92
2021,INGENIERIA COMERCIAL,beca,3,3,,no,80.22,87.78
2021,INGENIERIA COMERCIAL,extraordinario,7,6,,no,73.86,86.03
2021,INGENIERIA COMERCIAL,ordinario,100,85,,no,50.71,75.24
2021,INGENIERIA COMERCIAL,precatolica,24,24,,no,114.18,203.3
2021,INGENIERIA COMERCIAL,rendimiento_superior,6,6,,no,52.5,95.97
2021,INGENIERIA DE INDUSTRIA ALIMENTARIA,beca,4,4,,no,57.76,61.86
2021,INGENIERIA DE INDUSTRIA ALIMENTARIA,extraordinario,3,3,,no,81.63,81.76
2021,INGENIERIA DE INDUSTRIA ALIMENTARIA,ordinario,19,19,,no,45.51,73.64
2021,INGENIERIA DE INDUSTRIA ALIMENTARIA,precatolica,8,8,,no,118.62,193.88
2021,INGENIERIA DE MINAS,beca,9,9,,no,56.59,69.06
