ciclo,carrera,tramo_desde,tramo_hasta,resultado,postulantes
2021,ADMINISTRACION DE EMPRESAS,0,10,no_ingresante,1
2021,ADMINISTRACION DE EMPRESAS,40,50,no_ingresante,3
2021,ADMINISTRACION DE EMPRESAS,50,60,ingresante,2
2021,ADMINISTRACION DE EMPRESAS,50,60,no_ingresante,14
2021,ADMINISTRACION DE EMPRESAS,60,70,ingresante,23
2021,ADMINISTRACION DE EMPRESAS,60,70,no_ingresante,49
2021,ADMINISTRACION DE EMPRESAS,70,80,ingresante,60
2021,ADMINISTRACION DE EMPRESAS,70,80,no_ingresante,25
2021,ADMINISTRACION DE EMPRESAS,80,90,ingresante,49
2021,ADMINISTRACION DE EMPRESAS,80,90,no_ingresante,2
2021,ADMINISTRACION DE EMPRESAS,90,100,ingresante,7
2021,ADMINISTRACION DE EMPRESAS,90,100,no_ingresante,1
2021,ADMINISTRACION DE EMPRESAS,100,110,ingresante,2
2021,ADMINISTRACION DE EMPRESAS,110,120,ingresante,2
2021,ADMINISTRACION DE EMPRESAS,120,130,ingresante,1
2021,ADMINISTRACION DE EMPRESAS,150,160,ingresante,1
2021,ADMINISTRACION DE EMPRESAS,160,170,ingresante,7
2021,ADMINISTRACION DE EMPRESAS,170,180,ingresante,5
2021,ADMINISTRACION DE EMPRESAS,180,190,ingresante,4
2021,ADMINISTRACION DE EMPRESAS,190,200,ingresante,1
2021,ADMINISTRACION DE EMPRESAS,200,210,ingresante,2
2021,ADMINISTRACION DE EMPRESAS,210,220,ingresante,2
2021,ADMINISTRACION DE EMPRESAS,220,230,ingresante,3
2021,ADMINISTRACION DE EMPRESAS,230,240,ingresante,2
2021,ADMINISTRACION DE EMPRESAS,260,270,ingresante,1
2021,ARQUITECTURA,10,20,no_ingresante,3
2021,ARQUITECTURA,20,30,no_ingresante,4
2021,ARQUITECTURA,40,50,no_ingresante,2
2021,ARQUITECTURA,50,60,no_ingresante,5
2021,ARQUITECTURA,60,70,ingresante,10
2021,ARQUITECTURA,60,70,no_ingresante,18
2021,ARQUITECTURA,70,80,ingresante,69
2021,ARQUITECTURA,70,80,no_ingresante,13
2021,ARQUITECTURA,80,90,ingresante,35
2021,ARQUITECTURA,80,90,no_ingresante,3
2021,ARQUITECTURA,90,100,ingresante,8
2021,ARQUITECTURA,100,110,ingresante,8
2021,ARQUITECTURA,120,130,ingresante,1
2021,ARQUITECTURA,130,140,ingresante,1
