ciclo,carrera,vacantes,ingresantes,ocupacion,plazas_libres,cruzo,estado
2024,Administracion de Empresas,210,216,102.9,0,si,provisional
2024,Arquitectura,210,226,107.6,0,si,provisional
2024,Ciencia Politica y Gobierno,70,130,185.7,0,si,provisional
2024,Comunicación Social,120,78,65.0,42,si,provisional
2024,Contabilidad,120,241,200.8,0,si,provisional
2024,Derecho,350,368,105.1,0,si,provisional
2024,Educacion Inicial,70,60,85.7,10,si,provisional
2024,Enfermeria,200,209,104.5,0,si,provisional
2024,Farmacia y Bioquimica,210,221,105.2,0,si,provisional
2024,Ingenieria Agronomica y,70,0,0.0,70,no,provisional
2024,Ingenieria Agronomica y Agrícola,5,216,4320.0,0,si,provisional
2024,Ingenieria Ambiental,70,70,100.0,0,si,provisional
2024,Ingenieria Biotecnologica,140,148,105.7,0,si,provisional
2024,Ingenieria Civil,210,223,106.2,0,si,provisional
2024,Ingenieria Comercial,180,193,107.2,0,si,provisional
2024,Ingenieria de Industria,70,0,0.0,70,no,provisional
2024,Ingenieria de Industria Alimentaria,5,75,1500.0,0,si,provisional
2024,Ingenieria de Minas,120,123,102.5,0,si,provisional
2024,Ingenieria de Sistemas,210,222,105.7,0,si,provisional
2024,Ingenieria Industrial,280,302,107.9,0,si,provisional
2024,Ingeniería Mecánica,70,0,0.0,70,no,provisional
2024,Ingeniería Mecatrónica,120,132,110.0,0,si,provisional
2024,Medicina Humana,300,297,99.0,3,si,provisional
2024,Medicina Veterinaria y,210,0,0.0,210,no,provisional
2024,Obstetricia y Puericultura,140,145,103.6,0,si,provisional
2024,Odontologia,210,213,101.4,0,si,provisional
2024,Psicologia,210,231,110.0,0,si,provisional
2024,Publicidad y Multimedia,210,219,104.3,0,si,provisional
2025,Administracion de Empresas,220,215,97.7,5,si,provisional
2025,Arquitectura,220,199,90.5,21,si,provisional
2025,Ciencia Politica y Gobierno,58,122,210.3,0,si,provisional
2025,Comunicación Social,74,65,87.8,9,si,provisional
2025,Contabilidad,74,224,302.7,0,si,provisional
2025,Derecho,328,333,101.5,0,si,provisional
2025,Educacion Inicial,58,40,69.0,18,si,provisional
2025,Enfermeria,187,181,96.8,6,si,provisional
2025,Farmacia y Bioquimica,187,179,95.7,8,si,provisional
2025,Ingenieria Ambiental,112,86,76.8,26,si,provisional
2025,Ingenieria Biotecnologica,112,110,98.2,2,si,provisional
2025,Ingenieria Civil,220,216,98.2,4,si,provisional
2025,Ingenieria Comercial,166,162,97.6,4,si,provisional
2025,Ingenieria de Minas,126,126,100.0,0,si,provisional
2025,Ingenieria de Sistemas,220,213,96.8,7,si,provisional
2025,Ingenieria Industrial,276,278,100.7,0,si,provisional
2025,Ingenieria Mecánica,112,0,0.0,112,no,provisional
2025,Ingeniería Mecánica Eléctrica,58,139,239.7,0,si,provisional
2025,Ingeniería Mecatrónica,112,110,98.2,2,si,provisional
2025,Medicina Humana,222,222,100.0,0,si,provisional
2025,Medicina Veterinaria y Zootecnia,187,184,98.4,3,si,provisional
2025,Obstetricia y Puericultura,148,142,95.9,6,si,provisional
2025,Odontologia,187,177,94.7,10,si,provisional
2025,Psicologia,220,220,100.0,0,si,provisional
2025,Publicidad y Multimedia,216,165,76.4,51,si,provisional
2025,Tecnología Médica en Fisioterapia y Rehabilitación,74,0,0.0,74,no,provisional
2026,Administracion de Empresas,229,179,78.2,50,si,provisional
2026,Arquitectura,218,174,79.8,44,si,provisional
2026,Ciencia Politica y Gobierno,56,81,144.6,0,si,provisional
2026,Comunicación Social,74,55,74.3,19,si,provisional
2026,Contabilidad,74,111,150.0,0,si,provisional
2026,Derecho,361,365,101.1,0,si,provisional
2026,Educacion Inicial,56,69,123.2,0,si,provisional
2026,Enfermeria,197,180,91.4,17,si,provisional
2026,Farmacia y Bioquimica,206,147,71.4,59,si,provisional
2026,Ingenieria Ambiental,116,79,68.1,37,si,provisional
2026,Ingenieria Biotecnologica,119,112,94.1,7,si,provisional
2026,Ingenieria Civil,229,224,97.8,5,si,provisional
2026,Ingenieria Comercial,176,185,105.1,0,si,provisional
2026,Ingenieria de Minas,130,154,118.5,0,si,provisional
2026,Ingenieria de Sistemas,229,218,95.2,11,si,provisional
2026,Ingenieria Industrial,311,320,102.9,0,si,provisional
2026,Ingenieria Mecánica,109,0,0.0,109,no,provisional
2026,Ingeniería Mecánica Eléctrica,56,150,267.9,0,si,provisional
2026,Ingeniería Mecatrónica,109,103,94.5,6,si,provisional
2026,Medicina Humana,230,196,85.2,34,si,provisional
2026,Medicina Veterinaria y Zootecnia,168,185,110.1,0,si,provisional
2026,Obstetricia y Puericultura,146,133,91.1,13,si,provisional
2026,Odontologia,187,178,95.2,9,si,provisional
2026,Psicologia,220,197,89.5,23,si,provisional
2026,Publicidad y Multimedia,218,140,64.2,78,si,provisional
2026,Tecnología Médica en Fisioterapia y Rehabilitación,74,0,0.0,74,no,provisional
2027,Administracion de Empresas,172,74,43.0,98,si,provisional
2027,Arquitectura,330,57,17.3,273,si,provisional
2027,Ciencia Politica y Gobierno,108,19,17.6,89,si,provisional
2027,Comunicación Social,108,20,18.5,88,si,provisional
2027,Contabilidad,78,13,16.7,65,si,provisional
2027,Derecho,576,188,32.6,388,si,provisional
2027,Educacion Inicial,69,19,27.5,50,si,provisional
2027,Enfermeria,260,98,37.7,162,si,provisional
2027,Farmacia y Bioquimica,160,45,28.1,115,si,provisional
2027,Ingenieria Ambiental,78,13,16.7,65,si,provisional
2027,Ingeniería Biomédica,78,29,37.2,49,si,provisional
2027,Ingenieria Biotecnologica,128,39,30.5,89,si,provisional
2027,Ingenieria Civil,322,80,24.8,242,si,provisional
2027,Ingenieria Comercial,238,70,29.4,168,si,provisional
2027,Ingenieria de Minas,293,93,31.7,200,si,provisional
2027,Ingenieria de Sistemas,324,100,30.9,224,si,provisional
2027,Ingeniería en Inteligencia Artificial,139,20,14.4,119,si,provisional
2027,Ingenieria Industrial,507,143,28.2,364,si,provisional
2027,Ingenieria Mecánica,128,0,0.0,128,no,provisional
2027,Ingeniería Mecánica Eléctrica,69,70,101.4,0,si,provisional
2027,Ingeniería Mecatrónica,198,56,28.3,142,si,provisional
2027,Medicina Humana,222,89,40.1,133,si,provisional
2027,Medicina Veterinaria y Zootecnia,173,69,39.9,104,si,provisional
2027,Obstetricia y Puericultura,150,48,32.0,102,si,provisional
2027,Odontologia,190,76,40.0,114,si,provisional
2027,Psicologia,223,92,41.3,131,si,provisional
2027,Publicidad y Multimedia,168,48,28.6,120,si,provisional
2027,Tecnología Médica en Fisioterapia y,78,0,0.0,78,no,provisional
